,0
294,"tensor(54.9087, dtype=torch.float64)"
295,"tensor(12.2908, dtype=torch.float64)"
296,"tensor(180.2191, dtype=torch.float64)"
297,"tensor(32.1954, dtype=torch.float64)"
298,"tensor(64.8713, dtype=torch.float64)"
299,"tensor(55.8014, dtype=torch.float64)"
300,"tensor(68.1090, dtype=torch.float64)"
301,"tensor(133.3708, dtype=torch.float64)"
302,"tensor(92.3711, dtype=torch.float64)"
303,"tensor(65.2984, dtype=torch.float64)"
304,"tensor(44.5358, dtype=torch.float64)"
305,"tensor(167.0937, dtype=torch.float64)"
306,"tensor(21.0272, dtype=torch.float64)"
307,"tensor(289.4792, dtype=torch.float64)"
308,"tensor(98.9339, dtype=torch.float64)"
309,"tensor(147.5691, dtype=torch.float64)"
310,"tensor(106.7862, dtype=torch.float64)"
311,"tensor(7.8942, dtype=torch.float64)"
312,"tensor(9.0522, dtype=torch.float64)"
313,"tensor(123.5697, dtype=torch.float64)"
314,"tensor(268.1686, dtype=torch.float64)"
315,"tensor(25.0549, dtype=torch.float64)"
316,"tensor(209.1804, dtype=torch.float64)"
317,"tensor(32.1956, dtype=torch.float64)"
318,"tensor(89.1353, dtype=torch.float64)"
319,"tensor(87.7974, dtype=torch.float64)"
320,"tensor(197.6427, dtype=torch.float64)"
321,"tensor(111.3751, dtype=torch.float64)"
322,"tensor(216.8093, dtype=torch.float64)"
323,"tensor(116.2164, dtype=torch.float64)"
324,"tensor(195.4039, dtype=torch.float64)"
325,"tensor(100.5920, dtype=torch.float64)"
326,"tensor(85.4352, dtype=torch.float64)"
327,"tensor(91.6640, dtype=torch.float64)"
328,"tensor(7.3396, dtype=torch.float64)"
329,"tensor(264.5398, dtype=torch.float64)"
330,"tensor(673.9987, dtype=torch.float64)"
331,"tensor(5., dtype=torch.float64)"
332,"tensor(13.1097, dtype=torch.float64)"
333,"tensor(65.0545, dtype=torch.float64)"
334,"tensor(8.5792, dtype=torch.float64)"
335,"tensor(99.4595, dtype=torch.float64)"
336,"tensor(90.8003, dtype=torch.float64)"
337,"tensor(120.3568, dtype=torch.float64)"
338,"tensor(62.7146, dtype=torch.float64)"
339,"tensor(51.5320, dtype=torch.float64)"
340,"tensor(104.5567, dtype=torch.float64)"
341,"tensor(104.2794, dtype=torch.float64)"
342,"tensor(76.3284, dtype=torch.float64)"
343,"tensor(156.9537, dtype=torch.float64)"
344,"tensor(122.3210, dtype=torch.float64)"
345,"tensor(545.5939, dtype=torch.float64)"
346,"tensor(17.2268, dtype=torch.float64)"
347,"tensor(27.9292, dtype=torch.float64)"
348,"tensor(15.4725, dtype=torch.float64)"
349,"tensor(7.3427, dtype=torch.float64)"
350,"tensor(9.7485, dtype=torch.float64)"
351,"tensor(39.5569, dtype=torch.float64)"
352,"tensor(68.0078, dtype=torch.float64)"
353,"tensor(78.7878, dtype=torch.float64)"
354,"tensor(108.0107, dtype=torch.float64)"
355,"tensor(122.1533, dtype=torch.float64)"
